participant_id	datetime	age	sex	handedness	cch	music
sub-01	31-Mar-2025 11:57:53	21	F	R	N	Y
sub-02	02-Apr-2025 11:32:39	18	F	R	N	Y
sub-03	03-Apr-2025 12:12:42	22	F	R	Y	Y
sub-04	04-Apr-2025 11:20:46	22	M	R	N	Y
sub-05	04-Apr-2025 13:50:04	18	M	R	N	Y
sub-06	07-Apr-2025 10:13:12	20	F	R	N	Y
sub-07	07-Apr-2025 13:04:12	20	F	R	N	N
sub-08	08-Apr-2025 09:19:22	30	F	R	N	N
sub-09	08-Apr-2025 13:25:06	22	M	R	N	N
sub-10	09-Apr-2025 09:15:34	21	F	L	N	Y
sub-11	09-Apr-2025 12:14:58	21	F	L	N	Y
sub-12	23-Jun-2025 10:01:39	25	F	R	N	N
sub-13	23-Jun-2025 12:23:11	22	F	R	N	Y
sub-14	23-Sep-2025 10:09:46	18	F	R	N	N
sub-15	23-Sep-2025 13:06:32	21	F	R	N	N
sub-16	25-Sep-2025 10:19:29	18	F	LR	N	N
sub-17	25-Sep-2025 12:51:18	25	F	R	N	Y
sub-18	02-Oct-2025 10:13:47	18	F	R	N	Y
sub-19	02-Oct-2025 13:06:31	20	M	R	N	N
sub-20	07-Oct-2025 10:46:00	19	F	R	N	N
sub-21	07-Oct-2025 12:58:52	19	F	R	N	Y
sub-22	09-Oct-2025 10:11:19	26	F	R	N	N
sub-23	09-Oct-2025 13:17:10	23	F	R	Y	Y
sub-24	21-Oct-2025 10:28:33	18	F	R	N	Y
sub-25	21-Oct-2025 13:05:20	19	F	R	N	Y
sub-26	23-Oct-2025 10:15:57	18	M	R	Y	N
sub-27	23-Oct-2025 13:05:35	35	M	R	N	Y
sub-28	28-Oct-2025 10:01:11	19	M	R	Y	N
sub-29	28-Oct-2025 12:37:46	18	M	R	N	Y
sub-30	30-Oct-2025 09:51:59	19	M	L	N	Y
sub-31	30-Oct-2025 13:13:51	39	F	R	N	N
sub-32	04-Nov-2025 10:00:48	35	M	L	N	Y
sub-33	04-Nov-2025 13:04:34	19	F	R	N	N
sub-34	25-Nov-2025 10:05:55	21	M	R	N	N
sub-35	27-Nov-2025 10:15:46	20	M	R	N	N
sub-36	28-Nov-2025 14:16:30	18	F	R	N	N
sub-37	02-Dec-2025 10:30:35	20	F	R	Y	N
sub-38	02-Dec-2025 13:01:30	18	F	R	Y	N
sub-39	09-Dec-2025 09:43:00	18	F	R	N	N
sub-40	04-Mar-2026 14:18:15	20	M	R	N	Y
